"","Family","no_fish_species","source"
"269","Stromateidae",15,"FishBase"
"270","Aplocheilidae",14,"FishBase"
"271","Brachionichthyidae",14,"FishBase"
"272","Bregmacerotidae",14,"FishBase"
"273","Callanthiidae",14,"FishBase"
"274","Draconettidae",14,"FishBase"
"275","Ephippidae",14,"FishBase"
"276","Gymnuridae",14,"FishBase"
"277","Paraulopidae",14,"FishBase"
"278","Polypteridae",14,"FishBase"
"279","Xenisthmidae",14,"FishBase"
"280","Albulidae",13,"FishBase"
"281","Anacanthobatidae",13,"FishBase"
"282","Ateleopodidae",13,"FishBase"
"283","Champsodontidae",13,"FishBase"
"284","Grammatidae",13,"FishBase"
"285","Hoplichthyidae",13,"FishBase"
"286","Kuhliidae",13,"FishBase"
"287","Latidae",13,"FishBase"
"288","Pentacerotidae",13,"FishBase"
"289","Aracanidae",12,"FishBase"
"290","Aulopidae",12,"FishBase"
"291","Centriscidae",12,"FishBase"
"292","Centropomidae",12,"FishBase"
"293","Hexagrammidae",12,"FishBase"
"294","Narkidae",12,"FishBase"
"295","Notacanthidae",12,"FishBase"
"296","Odacidae",12,"FishBase"
"297","Orectolobidae",12,"FishBase"
"298","Symphysanodontidae",12,"FishBase"
"299","Bovichtidae",11,"FishBase"
"300","Harpagiferidae",11,"FishBase"
"301","Istiophoridae",11,"FishBase"
"302","Phycidae",11,"FishBase"
"303","Berycidae",10,"FishBase"
"304","Chaudhuriidae",10,"FishBase"
"305","Notopteridae",10,"FishBase"
"306","Oreosomatidae",10,"FishBase"
"307","Polymixiidae",10,"FishBase"
"308","Saccopharyngidae",10,"FishBase"
"309","Sphyrnidae",10,"FishBase"
"310","Trachipteridae",10,"FishBase"
"311","Trichonotidae",10,"FishBase"
"312","Anomalopidae",9,"FishBase"
"313","Bembridae",9,"FishBase"
"314","Colocongridae",9,"FishBase"
"315","Cottocomephoridae",9,"FishBase"
"316","Dalatiidae",9,"FishBase"
"317","Dussumieriidae",9,"FishBase"
"318","Gasteropelecidae",9,"FishBase"
"319","Heterodontidae",9,"FishBase"
"320","Howellidae",9,"FishBase"
"321","Kraemeriidae",9,"FishBase"
"322","Muraenolepididae",9,"FishBase"
"323","Nandidae",9,"FishBase"
"324","Nemichthyidae",9,"FishBase"
"325","Scophthalmidae",9,"FishBase"
"326","Serrivomeridae",9,"FishBase"
"327","Trachinidae",9,"FishBase"
"328","Chilodontidae",8,"FishBase"
"329","Citharinidae",8,"FishBase"
"330","Cynodontidae",8,"FishBase"
"331","Echeneidae",8,"FishBase"
"332","Evermannellidae",8,"FishBase"
"333","Hapalogenyidae",8,"FishBase"
"334","Hemigaleidae",8,"FishBase"
"335","Hemitripteridae",8,"FishBase"
"336","Heterenchelyidae",8,"FishBase"
"337","Parascylliidae",8,"FishBase"
"338","Pristiophoridae",8,"FishBase"
"339","Profundulidae",8,"FishBase"
"340","Rhinochimaeridae",8,"FishBase"
"341","Thaumatichthyidae",8,"FishBase"
"342","Amblyopsidae",7,"FishBase"
"343","Ariommatidae",7,"FishBase"
"344","Bathyclupeidae",7,"FishBase"
"345","Bathymasteridae",7,"FishBase"
"346","Congiopodidae",7,"FishBase"
"347","Ctenoluciidae",7,"FishBase"
"348","Dactylopteridae",7,"FishBase"
"349","Elassomatidae",7,"FishBase"
"350","Elopidae",7,"FishBase"
"351","Esocidae",7,"FishBase"
"352","Lepisosteidae",7,"FishBase"
"353","Oplegnathidae",7,"FishBase"
"354","Pristidae",7,"FishBase"
"355","Proscylliidae",7,"FishBase"
"356","Setarchidae",7,"FishBase"
"357","Toxotidae",7,"FishBase"
"358","Triacanthidae",7,"FishBase"
"359","Umbridae",7,"FishBase"
"360","Zenionidae",7,"FishBase"
"361","Anchariidae",6,"FishBase"
"362","Chironemidae",6,"FishBase"
"363","Citharidae",6,"FishBase"
"364","Diceratiidae",6,"FishBase"
"365","Diplomystidae",6,"FishBase"
"366","Melanocetidae",6,"FishBase"
"367","Monodactylidae",6,"FishBase"
"368","Moronidae",6,"FishBase"
"369","Neoscopelidae",6,"FishBase"
"370","Olyridae",6,"FishBase"
"371","Osteoglossidae",6,"FishBase"
"372","Retropinnidae",6,"FishBase"
"373","Scoloplacidae",6,"FishBase"
"374","Solenostomidae",6,"FishBase"
"375","Zeidae",6,"FishBase"
"376","Anarhichadidae",5,"FishBase"
"377","Aplodactylidae",5,"FishBase"
"378","Arapaimidae",5,"FishBase"
"379","Caulophrynidae",5,"FishBase"
"380","Cranoglanididae",5,"FishBase"
"381","Datnioididae",5,"FishBase"
"382","Gonorynchidae",5,"FishBase"
"383","Hepsetidae",5,"FishBase"
"384","Heteropneustidae",5,"FishBase"
"385","Isonidae",5,"FishBase"
"386","Lamnidae",5,"FishBase"
"387","Latridae",5,"FishBase"
"388","Leptoscopidae",5,"FishBase"
"389","Myrocongridae",5,"FishBase"
"390","Oxynotidae",5,"FishBase"
"391","Pegasidae",5,"FishBase"
"392","Scomberesocidae",5,"FishBase"
"393","Achiropsettidae",4,"FishBase"
